Game,Dodatek
Gloomhaven,"['Gloomhaven: Forgotten Circles', 'Gloomhaven: Solo Scenarios', 'Gloomhaven: The End of the World (Promo Scenario)']"
Pandemic Legacy: Season 1,[]
Through the Ages: A New Story of Civilization,[]
Terraforming Mars,"['Terraforming Mars: Gathering of Friends Promo Card', 'Terraforming Mars: Turmoil', 'Terraforming Mars: Atmo Collectors Promo Card', 'Terraforming Mars: BGG User-Created Corporation Pack', 'Terraforming Mars: Colonies', 'Terraforming Mars: Jovian Lanterns Promo Card', 'Terraforming Mars: Lunar Exports Promo Card', 'Terraforming Mars: Prelude', 'Terraforming Mars: Hellas & Elysium', 'Terraforming Mars: Penguins Promo Card']"
Twilight Struggle,"['Twilight Struggle: Turn Zero and Promo Packs', 'Twilight Struggle: Regime of the Colonels Promo Card', 'Twilight Struggle: Promo Deck', 'Twilight Struggle: Turn Zero', 'Twilight Struggle: ""Pakt Bagdadzki"" and ""Stan Wojenny"" Promo Cards', 'Twilight Struggle: ""Referendum NATO"" Promo Card', 'Twilight Struggle: ""Anni di Piombo"" Promo Card', 'Twilight Struggle: ""Gladio"" Promo Card']"
Star Wars: Rebellion,['Star Wars: Rebellion – Rise of the Empire']
Gaia Project,[]
Scythe,"['Scythe: Modular Board', 'Scythe: Bonus Promo Pack – 6 Promo Encounter Cards numbers 37-42', 'Scythe: Encounters', 'Scythe: The Rise of Fenris', 'Scythe: Promo Pack #11 – Encounter Card 39', 'Scythe: Promo Pack #12 – Encounter Card 40', 'Scythe: Promo Pack #13 – Encounter Card 41', 'Scythe: Promo Pack #14 – Encounter Card 42', 'Scythe: The Wind Gambit', 'Scythe: Invaders from Afar']"
Twilight Imperium (Fourth Edition),[]
Great Western Trail,"['Brettspiel Adventskalender 2018', 'Great Western Trail: At the Poker Table', 'Great Western Trail: Rails to the North', 'Deutscher Spielepreis 2017 Goodie Box', 'Great Western Trail: Promo Station Master Tiles', 'Great Western Trail: The Eleventh Building Tile']"
